epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6015.06,0.53639,0.25937,0.90998,0.99819,1,0.99473,0.89507,0.50458,0.2138,0.89217,0.000589532,0.000589532,0.000589532
73,6086.65,0.53235,0.25953,0.91203,0.99815,1,0.99468,0.89323,0.50404,0.20981,0.88777,0.000585032,0.000585032,0.000585032
74,6159.74,0.53598,0.2584,0.90956,0.99817,1,0.99443,0.89352,0.50559,0.20658,0.89092,0.000580533,0.000580533,0.000580533
75,6229.07,0.52952,0.25801,0.91073,0.9982,1,0.99481,0.89407,0.50404,0.21045,0.88806,0.000576033,0.000576033,0.000576033
76,6296.63,0.52629,0.25855,0.90504,0.99816,1,0.99472,0.8971,0.5038,0.20583,0.88764,0.000571534,0.000571534,0.000571534
77,6364.4,0.53409,0.2572,0.91167,0.99825,1,0.99477,0.899,0.50363,0.20793,0.88424,0.000567034,0.000567034,0.000567034
78,6433.53,0.5246,0.25581,0.90775,0.99823,1,0.99444,0.894,0.50785,0.20629,0.88733,0.000562535,0.000562535,0.000562535
79,6502.46,0.52532,0.25218,0.9084,0.99821,1,0.99398,0.89939,0.50522,0.20656,0.88771,0.000558035,0.000558035,0.000558035
80,6569.81,0.52815,0.25726,0.90611,0.99806,0.99958,0.9943,0.89495,0.50542,0.20564,0.89172,0.000553536,0.000553536,0.000553536
81,6637.83,0.52379,0.25578,0.90532,0.99825,1,0.99478,0.89387,0.50976,0.20695,0.88761,0.000549036,0.000549036,0.000549036
82,6710.17,0.52693,0.25547,0.90971,0.99819,1,0.99445,0.88539,0.51208,0.20835,0.89028,0.000544536,0.000544536,0.000544536
83,6790.58,0.53542,0.2529,0.91165,0.99817,1,0.99465,0.89364,0.50462,0.2089,0.88548,0.000540037,0.000540037,0.000540037
84,6928.81,0.5303,0.25351,0.90629,0.99807,1,0.99462,0.89603,0.50535,0.20211,0.88825,0.000535537,0.000535537,0.000535537
85,7062.15,0.52452,0.24995,0.90863,0.99822,1,0.99441,0.89767,0.50244,0.20091,0.88792,0.000531038,0.000531038,0.000531038
86,7184.33,0.52569,0.25007,0.90807,0.99819,1,0.99438,0.89759,0.50245,0.20249,0.88455,0.000526538,0.000526538,0.000526538
87,7310.79,0.52022,0.25048,0.90704,0.99812,0.99948,0.99458,0.88819,0.5107,0.20515,0.89216,0.000522039,0.000522039,0.000522039
88,7464.16,0.52171,0.24887,0.90301,0.99817,1,0.99431,0.89744,0.50281,0.20279,0.88381,0.000517539,0.000517539,0.000517539
89,7600.39,0.51846,0.24868,0.90275,0.99822,0.99996,0.99422,0.89441,0.5079,0.20521,0.88912,0.00051304,0.00051304,0.00051304
90,7733.93,0.52228,0.2527,0.90996,0.99824,1,0.99434,0.89066,0.51379,0.20633,0.8874,0.00050854,0.00050854,0.00050854
91,7865.94,0.51936,0.25083,0.90471,0.9982,1,0.99465,0.89324,0.51341,0.20262,0.89242,0.00050404,0.00050404,0.00050404
92,7998.85,0.51868,0.24983,0.9063,0.99824,1,0.99447,0.89333,0.5093,0.20214,0.89139,0.000499541,0.000499541,0.000499541
93,8136.62,0.52074,0.24966,0.90773,0.99818,1,0.99427,0.89516,0.5065,0.20248,0.88796,0.000495041,0.000495041,0.000495041
94,8274.88,0.51183,0.2479,0.90219,0.99779,0.99942,0.99474,0.89199,0.51166,0.20505,0.8873,0.000490542,0.000490542,0.000490542
